get,About,Check the health of the Security REST services,None,200 : OK 
get,AssociationPolicys,Searches for AssociationPolicys,name : msql required : true type : string and name : page required : true type : integer and name : pageSize required : true type : integer and name : tenantid required : true type : string and name : Authorization required : true type : string ,200 : OK or 401 : Authorization denied. Check Authorization token and Security settings for this user 
get,AssociationPolicys,Retrieves a description of the properties and requirements for the AssociationPolicy object,name : tenantid required : true type : integer and name : Authorization required : true type : string and name : If-None-Match required : false type : string ,200 : OK or 304 : The AssociationPolicy description has not been modified since you last retrieved it or 401 : Authorization denied. Check Authorization token and Security settings for this user 
get,AssociationPolicys,Retrieves a single AssociationPolicy identified by the supplied ID,name : id required : true type : string and name : Authorization required : true type : string and name : If-None-Match required : false type : string ,200 : OK or 304 : The AssociationPolicy has not been modified since you last retrieved it or 401 : Authorization denied. Check Authorization token and Security settings for this user or 404 : A AssociationPolicy with the supplied ID could not be found 
put,AssociationPolicys,Creates or updates an AssociationPolicy with a specific ID,name : id required : true type : string and name : payload required : true and name : Authorization required : true type : string and name : Asynchronous required : false type : boolean ,200 : Record was successfully updated or 201 : Record was successfully created or 400 : The request could not be processed - the payload was missing or malformed or 401 : Authorization denied. Check Authorization token and Security settings for this user or 404 : Could not find the specified record in order to update it or 409 : The update failed because this record has been updated by another user. Please retrieve the record again and retry the update 
post,AssociationPolicys,Creates a new AssociationPolicy,name : payload required : true and name : Authorization required : true type : string and name : Asynchronous required : false type : boolean ,201 : Record was successfully created or 400 : The request could not be processed - the payload was missing or malformed or 401 : Authorization denied. Check Authorization token and Security settings for this user 
delete,AssociationPolicys,Deletes an AssociationPolicy with a specific ID,name : id required : true type : string and name : Authorization required : true type : string and name : Asynchronous required : false type : boolean ,200 : Record was successfully deleted or 400 : The request could not be processed - an ID must be specified or 401 : Authorization denied. Check Authorization token and Security settings for this user or 404 : Could not find the specified record in order to delete it 
get,AssociationRoles,Searches for AssociationRoles,name : msql required : true type : string and name : page required : true type : integer and name : pageSize required : true type : integer and name : tenantid required : true type : string and name : Authorization required : true type : string ,200 : OK or 401 : Authorization denied. Check Authorization token and Security settings for this user 
get,AssociationRoles,Retrieves a description of the properties and requirements for the AssociationRole object,name : tenantid required : true type : integer and name : Authorization required : true type : string and name : If-None-Match required : false type : string ,200 : OK or 304 : The AssociationRole description has not been modified since you last retrieved it or 401 : Authorization denied. Check Authorization token and Security settings for this user 
get,AssociationRoles,Retrieves a single AssociationRole identified by the supplied ID,name : id required : true type : string and name : Authorization required : true type : string and name : If-None-Match required : false type : string ,200 : OK or 304 : The AssociationRole has not been modified since you last retrieved it or 401 : Authorization denied. Check Authorization token and Security settings for this user or 404 : A AssociationRole with the supplied ID could not be found 
put,AssociationRoles,Creates or updates an AssociationRole with a specific ID,name : id required : true type : string and name : payload required : true and name : Authorization required : true type : string and name : Asynchronous required : false type : boolean ,200 : Record was successfully updated or 201 : Record was successfully created or 400 : The request could not be processed - the payload was missing or malformed or 401 : Authorization denied. Check Authorization token and Security settings for this user or 404 : Could not find the specified record in order to update it or 409 : The update failed because this record has been updated by another user. Please retrieve the record again and retry the update 
post,AssociationRoles,Creates a new AssociationRole,name : payload required : true and name : Authorization required : true type : string and name : Asynchronous required : false type : boolean ,201 : Record was successfully created or 400 : The request could not be processed - the payload was missing or malformed or 401 : Authorization denied. Check Authorization token and Security settings for this user 
delete,AssociationRoles,Deletes an AssociationRole with a specific ID,name : id required : true type : string and name : Authorization required : true type : string and name : Asynchronous required : false type : boolean ,200 : Record was successfully deleted or 400 : The request could not be processed - an ID must be specified or 401 : Authorization denied. Check Authorization token and Security settings for this user or 404 : Could not find the specified record in order to delete it 
get,AsyncOperationStatus,Gets the asynchronous operation status.,name : id required : true type : string and name : Authorization required : true type : string ,200 : OK 
